city,state,pet_id,name,breed
Kansas City,MO,48750742,Lola,Cattle Dog
Greenville,SC,48750709,Tonya,American Staffordshire Terrier
Greenville,SC,48750706,Tango,American Staffordshire Terrier
Greenville,SC,48750705,Subwoofer,Retriever
Greenville,SC,48750704,JK Growling,American Staffordshire Terrier
Greenville,SC,48750708,Rocky,Retriever
Greenville,SC,48750707,Rambo,Hound
Greenville,SC,48750703,Scout,Beagle
Bowling Green,KY,48750697,Ramona,Pit Bull Terrier
Rochester Hills,MI,48750695,Donita,Pit Bull Terrier
Pekin,IL,48750693,Makk,Labrador Retriever
Independence,MO,48750691,Max,Shepherd
Houma,LA,48750688,Elroy,German Shepherd Dog
Chamblee,GA,48750685,Ferb - IN FOSTER,Mixed Breed
Chamblee,GA,48750684,Marbella,Mixed Breed
Orlando,FL,48750682,Ari,Mixed Breed
Madera,CA,48750665,Hailey,Cairn Terrier
Columbia,SC,48750640,Azalea,Pit Bull Terrier
Andover,MA,48750559,Bingo,Labrador Retriever
Bishop,GA,48750187,Taina,Mixed Breed
San Francisco,CA,48750635,Penelope,Doberman Pinscher
San Francisco,CA,48750634,*Eros* puppy,Chihuahua
West Chicago,IL,48750620,Esquire,Labrador Retriever
Columbus,NE,48750624,Mishka,Siberian Husky
Columbia,SC,48750627,Coreopsis,Labrador Retriever
McCall,ID,48750563,Lexi,Australian Cattle Dog
Cookeville,TN,48750618,Sulley,American Staffordshire Terrier
Cookeville,TN,48750619,Kristoff Real Name (Inmate),Catahoula Leopard Dog
Columbia,SC,48750577,Bella,American Bulldog
Boerne,TX,48750616,Olaf,Mixed Breed
Boerne,TX,48750614,Elsa,Australian Shepherd
Boerne,TX,48750615,Kara,Labrador Retriever
El Paso,TX,48750612,45273350,Collie
El Paso,TX,48750611,45273290,Boxer
El Paso,TX,48750610,45176355,Chihuahua
Versailles,KY,48750603,Joe,Shepherd
Rock Falls,IL,48750601,BEN,Labrador Retriever
Huntington,WV,48750591,Chip,Miniature Pinscher
Huntington,WV,48750587,Biggie,German Shepherd Dog
Huntington,WV,48750589,Pac,Mixed Breed
Huntington,WV,48750590,Dale,Chihuahua
Huntington,WV,48750588,Cocoa,Mixed Breed
Huntington,WV,48750586,Alfie stray hold 8/17,Mixed Breed
Huntington,WV,48750585,Bonnie,Mixed Breed
Kingman,KS,48750583,Gretchen,German Shepherd Dog
Corpus Christi,TX,48750582,Simon,Great Pyrenees
Columbia,MO,48750580,Cosmo,Beagle
Columbia,MO,48750581,Sonic,Spaniel
Middleburg,FL,48750584,Frankie 19360,Hound
Justin,TX,48750507,*Ennis,Boxer
San Diego,CA,48750545,Tea Rose,American Staffordshire Terrier
Unionville,VA,48750516,Moss,Rhodesian Ridgeback
Moscow,ID,48750469,Achilles,Golden Retriever
Columbia,SC,48750564,Aloalo,Hound
Oregon City,OR,48743523,Acura,Chihuahua
Columbia Station,OH,48750566,Rum,Shepherd
McCall,ID,48750333,Maui,Boston Terrier
Denton,TX,48750556,FINN,Catahoula Leopard Dog
Media,PA,48750321,Sheba,Mixed Breed
Pearland,TX,48750557,Mia,Belgian Shepherd
Princeton,MN,48750550,Chuck,Labrador Retriever
North Syracuse,NY,48750547,Ernie,Pug
North Syracuse,NY,48750548,Jo Jo,Terrier
San Francisco,CA,48750543,*Morpheus* puppy,Chihuahua
San Francisco,CA,48750542,*Bert* puppy,Chihuahua
Severn,MD,48688600,Gibbs,Chihuahua
Roanoke,VA,48750538,Luna,Boxer
Roanoke,VA,48750536,Snowball,German Shepherd Dog
Roanoke,VA,48750537,Nox,Pit Bull Terrier
Wheaton,IL,48750522,Thor,Pit Bull Terrier
Webster,WI,48750529,Goliath,Great Pyrenees
Toronto,ON,48750318,Fox,Husky
Warren,OH,48750508,Heidi,Akita
San Diego,CA,48750193,Zuko means Glory :),Beagle
Eighty Four,PA,48750506,Star,Pit Bull Terrier
Unionville,VA,48750208,Birch,Rhodesian Ridgeback
Boerne,TX,48750509,Lina,Labrador Retriever
Boerne,TX,48750510,Naveah,Labrador Retriever
Warren,OH,48750478,Ace,Maltese
Aurora,CO,48750496,Lola,Terrier
Pembroke Pines,FL,48750265,Leo,Shih Tzu
Monroe,OH,48749756,Tinker,Chihuahua
San Jacinto,CA,48750494,R240202/ Coda,Pit Bull Terrier
Salt Lake City,UT,48750488,Lucky,German Shorthaired Pointer
Fort Worth,TX,48750490,?Dippin Dot,Labrador Retriever
Fort Worth,TX,48750492,?Breyer,Labrador Retriever
Fort Worth,TX,48750491,?Bresler,Labrador Retriever
West Olive,MI,48750486,Bella,Mixed Breed
Uniontown,PA,48750362,Kaylee,Pekingese
Macon,GA,48750470,GOOFY,Labrador Retriever
Macon,GA,48750472,BRISTOL,Labrador Retriever
Macon,GA,48750471,DONALD,Mixed Breed
Tallahassee,FL,48750465,BAILEY,Rottweiler
Tallahassee,FL,48750463,GODIVA,Labrador Retriever
Rosenberg,TX,48750458,A027016,Norfolk Terrier
Rosenberg,TX,48750459,A027015,Labrador Retriever
Denver,CO,48750453,SHEBA,Great Pyrenees
Denver,CO,48750452,MAX,Lhasa Apso
Denver,CO,48750454,DRESDEN,Catahoula Leopard Dog
Denver,CO,48750455,LUCY,Siberian Husky
Fort Thomas,KY,48750325,Ashton,Beagle
San Antonio,TX,48750450,LEVI,Labrador Retriever
Saint Louis,MO,48750443,ROOSTER,Labrador Retriever
Saint Louis,MO,48750442,JACKIE,Australian Cattle Dog
Charleston,SC,48749969,Ella,Mixed Breed
San Antonio,TX,48750451,BLONDIE,Chihuahua
San Antonio,TX,48750448,LUNA,American Staffordshire Terrier
San Antonio,TX,48750449,MAX,Chihuahua
